0 49
45 47 8
7 41 18
9 20 14
34 46 7
7 31 7
26 35 4
6 38 10
25 42 19
42 45 18
35 49 18
1 12 7
32 39 7
17 32 1
10 26 7
0 28 17
20 46 11
4 37 5
33 42 4
1 16 10
45 49 5
33 36 11
3 39 18
12 45 12
30 34 20
41 48 8
28 48 7
26 32 8
45 46 18
14 34 4
36 42 6
31 35 14
36 45 18
17 43 5
31 42 12
48 49 6
3 25 17
22 23 19
9 45 13
39 47 17
13 37 16
2 39 11
19 23 19
19 22 15
19 36 19
18 30 6
46 49 2
27 35 8
10 43 5
23 31 13
11 24 7
24 33 13
44 45 3
28 38 7
44 46 15
26 33 8
33 46 3
40 41 11
5 18 14
46 47 2
7 45 10
16 17 7
3 15 20
27 36 7
26 48 4
12 20 5
28 45 1
5 8 10
39 41 19
1 29 8
4 43 16
18 41 2
35 41 14
40 45 12
22 33 10
0 5 9
30 48 8
5 13 11
25 44 1
2 33 9
2 37 11
13 43 17
10 33 17
32 44 5
4 21 7
38 40 18
47 48 10
14 46 6
31 34 16
34 38 5
30 49 8
21 23 6
8 15 11
34 43 10
0 1 2
1 2 7
2 3 18
3 4 9
4 6 4
6 7 10
7 9 2
9 10 15
10 11 15
11 14 1
14 19 12
19 27 7
